parcelid,neighborhood,latitude,longitude
02302649,C321,35.37594968,-80.92086523
08914234,I910,35.2752923,-80.77884964
08917310,I911,35.27981423,-80.76862959
08917524,I911,35.2800349,-80.77170817
09102112,J114,35.25294474,-80.78393038
09110613,J113,35.24688478,-80.80109771
09306222,J311,35.2404925,-80.79058483
11102728,L102,35.24574686,-80.68297293
15511109,P537,35.19001037,-80.82270061
05549212,F503,35.27136808,-80.97178299
07510636,H512,35.24824997,-80.83915161
19333739,T312,35.1338719,-80.6961816
19340112,T318,35.14145088,-80.69671313
00702102,A724,35.49711275,-80.84514473
00732226,A730,35.46482329,-80.80705902
00543219,A520,35.44440259,-80.85016064
00543435,A520,35.44614675,-80.85256246
19947541,T914,35.12725182,-80.99001971
04734348,E716,35.30115158,-80.79652558
04910124,E910,35.27873592,-80.75590864
04912349,E909,35.2725707,-80.74864671
04912362,E909,35.27298206,-80.74979568
03726503,D739,35.32569728,-80.85487397
09505618,J511,35.22689142,-80.79894254
09506520,J511,35.22480597,-80.8052773
00705351,A737,35.48857909,-80.85577394
09705720,J713,35.25647776,-80.74703324
03904417,D915,35.26760208,-80.87953877
22123201,W109,35.07780927,-80.85214676
22131116,W113,35.08075723,-80.86734276
22134123,W109,35.07113681,-80.85474275
22135121,W110,35.07352445,-80.85993698
22140222,W113,35.07740332,-80.86281348
22141141,W113,35.07761884,-80.86863162
22310236,W331,35.04546803,-80.86228191
00537578,A551,35.44774681,-80.88321324
10309542,K310,35.21868052,-80.74063393
10320113,K314,35.22231446,-80.72848101
21716315,V702,35.07087575,-81.03239527
11103450,L107,35.24495553,-80.67084181
19921104,T902,35.14887346,-81.0030104
00544105,A520,35.44813555,-80.85396403
00523126,A513,35.47375484,-80.86197749
13516320,N501,35.17628507,-80.71142259
20122103,AP13,35.11334361,-80.97744126
00931547,A902,35.42220692,-80.8756499
22304360,W358,35.02131201,-80.85346154
19346173,T317,35.14752826,-80.70545038
19501525,T515,35.13925738,-80.67398112
19513510,T522,35.13389111,-80.64591572
19518123,T519,35.16717197,-80.65737436
19522120,T501,35.15932105,-80.66968316
00726316,A730,35.47469189,-80.81202229
19728620,T721,35.16704966,-80.60253859
16922114,Q914,35.14692045,-80.88198995
